"['opencv', 18, 4, 0.2222222222222222]"
"['scrap', 2, 0, 0]"
"['python , sql , matlab , r , perl , javascript , aws , git , multivariate regression , classification , ensemble technique , cluster , forecasting , natural language processing , recommendation system , power calculation , a/b testing , hypothesis testing , bayesian inference', 1, 0, 0]"
"['bert', 1, 0, 0]"
"['open source', 2, 0, 0]"
"['encoder', 1, 1, 1.0]"
"['web scrap', 10, 0, 0]"
"['apache cassandra', 6, 0, 0]"
"['apache hbase', 9, 0, 0]"
"['apache kafka', 5, 0, 0]"
"['asteradata', 6, 0, 0]"
"['cobol', 2, 0, 0]"
"['computer science', 13, 0, 0]"
"['dbscan', 13, 2, 0.15384615384615385]"
"['t-sne', 6, 0, 0]"
"['exstream', 1, 0, 0]"
"['opentext', 1, 1, 1.0]"
"['m project', 15, 0, 0]"
"['objective-c', 1, 0, 0]"
